comentario;sentimento
fragrance is so good and long lasting too bold and sensuous fragrance this can use for both men and women valur for money;1
worst product dont buy this leakage;-1
i had ordered for milton water bottle but sent me ecllo water bottle its price is less;0
very nice product and awesome colours;1
fragrance not long lasting;0
adhesive is bad;-1
very bad product;-1
worst producti am totally disappointedi will never suggest anyone to purchase this product;-1
good productbut bowls were not available in the pack;0
worst of money;-1
lowest quality not at all worth the money;-1
product is normal and price the very much;0
average;0
worst experience ever only 1 diaper used baby got full rashes need to be return dont buy ;-1
still not get my replacement product the product which i got was defected;0
itz an average productbig in size also;0
quality not better;-1
wall mount very low standard picture quality 3sound 3;0
bat quality dont buy this product flipkart return my money;0
very small in size;-1
product is good but delivery is not perfect;-1
very poor quality i dont buy again;-1
very bad waste of money;-1
very short;-1
size is ont good;-1
i will try it for my turban;0
midiyam qualty products ;0
ok;0
ok;0
sole paste is weak;-1
got the product on 1 jan 2020 after 2 weeks making the order also got the product which was packed on march 2019 i dont know whether these seeds will germinate or not expiry date is noted as march 2020 will edit the review after sowing these seeds;0
its ok go for;0
very very bad product;-1
very poor quality;-1
100 pages;0
okay product;1
quality of the diapers are very very worst many of the diapers are getting torn while we put in on the baby we usually buy this product and never had this problem but this time the quality of the products is worst;-1
value for money;1
waste product not leak proof dont buy;-1
washing is slow but price wise ita good washing speed should have been faster;0
costly;-1
nice;1
i bought this in oct 19the plates are breaking automatically one by one just kept on the table the plates are very thin and it seems not with standing heat of the served food;0
best packaging nd smell just wowwwwww;1
avarege;0
average product;0
very good product;1
it was supplied with one containerpot only but good;0
poor worst product ever has become bumtum now before it was good now it has become so thin no difference between m size l size and the packaging is also not good received it like a trash so much disappointed;-1
perfect;1
average;0
price too much;0
size is to small as shown in picture and battery down after 510 min;-1
bed;-1
value for money;1
super;1
ok ok;0
poor quality and totally money waste productsplz these items returned policy are mandatory;-1
smell vasthindhi;0
amazing product thanks flipkart;1
very bad metrial;-1
not so bad;0
cheap quality leakage in 23 hour medium size looks like small not comfortable to baby;-1
too tight?� screen guard is coming off after fitting this in my phone;0
poor quality dont buy;-1
after 2 months key bord is not working good when i press the key once it goes press automatically 2 times or more than 2 times;-1
its a good watch in this price range;1
average;0
ok;0
bad qlty;-1
jest ok;0
using it since 1 month nowbattery backup is around 35 hours average tested multiple timeskeyboard is very smooth build quality could have been bettersound quality is topprocessor performance is great obliviously i have used it for coding visual studio 22 games codpubg premier pro is working perfectit can battle with i7 9th to 11th gen processor laptops so you can select for coding cons wifi 6 but still a bit low rangewebcam is the biggest conwith;0
heating is very good and look wise ot is dashing and loking stylish and its shape was cute and it heated water in 2 minutes only best for winters you get a easy and comfortable bath ;1
quality is not good;-1
product is ok not so good not so bad;0
spr;0
this football is ideal for learners and as well for players as it gives good bounce to you but this football is made with some rubber so we should play with shoes or else this will hurt you this football can be played on grass as it moves and gives smooth first touches and if played on hard surfaces it will bounce alot and it maybe not good for the playersoverall this football is worthy to play;0
cotton is very bad;-1
very dummy quality dont purchase please;-1
not remarkable;-1
not as good as expectedlinkage start after 2 hoursvery disappointed plzz dont cheat ur costumers flipkart;-1
quality is okbut finishing are not upto the mark;0
nice grinder thanks flipkart;1
very bad product its leakage;-1
bold black loved it;1
speed is little bit slow;0
smooth and smudge proof;1
very bad productmoney waist;-1
good;1
small size issue;0
okay it is average;0
leakage issue;-1
good quality product;1
gud;1
its pathetic please dont buy;-1
quantity is to bad;-1
not bad;1
very discomfortable to wear;-1
fastly wetting compare to cuddles cuddles is best i think in low cost;-1
nice product;1
good ;1
too bad size is large baby feels wet from its gel;-1
i bought this product for 1st time material is very thin quality is also too bad it doesnt last for 1hr also so guys please dont buy this;-1
very poor design all the dust comes in when you walk just a little with these clogs;-1
ok;0
good product value formoney thanks flipkart;1
bad productleakage while one time urinemy recomend not to buy this product;-1
not goodbad quality;0
very bad experience;-1
ok ok masks  not really good;0
a product that lacks even the slightest quality;0
this is good go for it;1
 nice prodect ;0
overalls keyboard is good but problem with enter key i have to press more pressurely;0
worst product that i ever had brought torn after 5 days of usage and very bad smell after wore ;-1
very bad;-1
just ok;0
nice but expensive;0
just ok;0
spin is made up of plastic not that strong;-1
slow transfer rate;0
budget friendly product good packaging and coming to the fragrance so its strong night party type fragrance long lasting category totally loved this one;1
air leaking problum;-1
good in performance but cooling is not sufficient for top level gaming and also mentioned as quad core but cpu is an hexa core;0
ok;0
product is ok;0
avg cooling very less as compare to metal iron coolers;0
great buy i decided to buy this product based on the positive reviews and im so glad i did the microwave oven is a basic model but works for me my primary reason for buying this was to heat up food or milk and this simply does that there are 5 power options and a time setter id recommend this product if you are looking for a simple and easy to use microwave im very happy with the delivery the item was delivered in less than 24 hours since i placed the order packaging was done nic;1
received product in time but rear tyre is punctured;0
unbelievable;1
nicee product;1
poor quality l buy a l size but it is not standard size its leaking but what i purchasd before the other brand was a standard brand so purchasing this brand i am trapped and this kind of things cant be returnso i dont like this brand ptoduct;-1
have used different kits in past the best i found is panbioa and sd biosensor in mylab the liquid solution is very less and get absorbed in cotton swab itself makes it difficult to drop on kit even after pressing hard couldnt left with enough solution that can flow through the c and t line this way cannot justify the accuracy of teston delivery front received in 3 to 4 days of order packaging was good can say a good seller;1
good;1
vera level experience;0
superb;1
very poor quality dont buy it its nit observing properly;-1
very bed;-1
very good product;1
v bed product;0
nice thanks;1
fabulous product delivered in a day installation done one next day of delivery coordial person came for installation;1
good value for money few programs are available where there is manual interaction needed to set up each time based on our needsdisplay is missing which is huge minus point;1
elegant design silent operation good cleaning awesome service from haier;1
product delivered at right time;1
excellent ;1
good ;1
diaper is not good keeps on leaking ;-1
its to thin looks like only one drop its broken;0
quality is good;1
good product;1
waste of money;-1
ok;0
hated the product every single diapers in this pack is leakingtoo bad for my child;-1
good products in this price rs 1999;1
ok;0
very nice product;1
awsm;1
bad product quality is local;-1
the cycle came in fine the packaging was fine was 75 assembled had to fix the front wheel handle peddle and other small parts at first glance the cycle looks good and it mostly is however there are a few nagging issues i assembled the cycle on my own i could do it easily but many people might find it a bit tricky took me an hour an important area where people make mistakes is the front wheel assembly most people with fit it the wrong way with fork facing inside make sure fork ;-1
its ok;0
excellent product;1
good;1
awsome;0
average;0
nice;1
nice;1
colour good but quality ok ok;0
seller sent a used product there were signs of water evaporated from the cooler didnt have time to return and wait for new one in this summer cooler is somewhat slow yet effective and is only good room smaller than 120 sq ft;0
not so goodits soft and light but too thin different from the picture;-1
quality was not good;-1
very good price of this watch;1
love the fitting;1
ok ok;0
trusted brand;1
just ;0
waste of money leaking outside;-1
very bad product leakage problem;-1
good heat;1
very bad experience its leaks after 2hrs;-1
very nice;0
bad kawality not satisfied;-1
very poor quality;-1
good product no loking for stylish;1
very bad leakage started very soon;-1
the color and charm of nivia isnt compromised perfect go for it;-1
regret buying this ill not refer to any one about this waste of money more than that my baby is suffering from rashes after using this price delivery everything is ok but not upto the mark better go to the high end brands this gives only 6 hours protection not more than that;-1
product not working after a year of usage;0
not worth for this waste of money quality very bad;-1
nice and good performance;1
not good ;-1
great expirienced by qwality sound;1
ok;0
in second day the chappal shows damage;-1
good products;1
not good;-1
below average matterial ;0
its very small;-1
good product;1
its really good product better than alexa make sure you have smart tv and smart lights before buying then only its useful;1
average product at this price not too good as expect;0
fabulous;1
book is average;0
size very small;0
this product poor quality;-1
very bad ;-1
working good;1
size is not matching product was little good look wise not big not recommended;-1
good;0
all the performance is best but in game it show blue display error;0
not good not comfortable;-1
nice;1
cooker is okay but pan is so small and not enough for 56 adult members second there is replacement policy not return policy so be aware of next buyers i brought rs 2350;0
bad product;-1
just go for it;0
its real cocoa powder;0
i dont like it its side stitches are so hard and irritating for baby;-1
is ok;0
not good as much as using;-1
not good not sufficient for whole night;-1
un comfortable dont buywaste of money;-1
best quality product;1
service quality is too bad;-1
ok;0
you can use this for new born baby only its unable to shok large flow quality is low;-1
just go for it this is best kettle in flipkart i write this review after usage of 1 weekpros1best build quality2thicker steel jar3quick heating4auto cutoff power function when liquid temperature reaches a max limitcons steel jar also got heated overall it is best product in this price range highly recommend to anyone who wanna purchase kettle;1
worst product;-1
it was amazing;1
good;1
very bad quality it is lake a basketball;-1
its too early to comment on the product its going on well however if used whole night or a long period the lower part green light becomes red i dont know what is the reason;0
tq;1
not good quality;-1
quality is not good very poor quality;-1
average;0
super grow;1
