comentario;sentimento
good cuality;1
super product;1
as expected ;1
meteriyal is not good but very comfortable;1
god;1
very nice product;1
bast;1
nice product;1
good;1
nice fleeting;1
good product and very comfortable to wear that so thank you flip kart ;1
very good product;1
good product snugly fits worth buying;1
very good;1
very good ;1
good products;1
good;1
nice;1
very good;1
very good;1
very good product;1
its a really good product for playing cricket;1
super;1
good;1
so nice sexy look;1
super;1
i have been using d ath support for d last 3540 yrsbut sportsoul brand find very comfortable;1
superb fine;1
super;1
size problem but quality is o o ok type;1
so far very good experience but stiching very delicate;1
size and fittings perfect product is pure cotton onlything is elastic looses very fast;1
only grey color is good dont buy blackcolor bcoz it is loosing black each time when i wash itits irritating to get lot of black color in each timesince 3 weeks i buy im still getting the black colorso better buy grey colorand size and fitting are good;1
good;1
nice;1
comfortable nice one;1
photocopy and original material difference;1
good;1
excellent product;1
comfortable;1
very good ;1
pretty good;1
good;1
nice;1
nice product;1
super;1
good;1
thanks;1
good;1
excellent;1
very nice material and solid comfort;1
nice productbut i havent usedquality is really goodirfan;1
good;1
nice product;1
stitching should be good i got little bit tight one i think plz improve stitch once more for long life of this item;1
v good;1
super;1
awesome;1
good fiting;1
nice product fabric is good with this price and fitting is awesome you can go for it with out having second thought;1
good product very comfortable thanks flipcard;1
nice quality good product ;1
good quality nice product comfortable fit size according to me no issue with product;1
very nice product and good quaility;1
good quality product;1
nice;1
amazing productgood product quality at this price range and amazing product with good fitting;1
quality is good but i think rs 400 is too much;1
perfect;1
very nice;1
nice;1
so much comfortable to wear l;1
very nice quality as mentioned as it is;1
well fit;1
good quality;1
good quality;1
very good;1
nice;1
nice products;1
nice product;1
good quality;1
happy;1
wroth of money;1
comfortable;1
very good product;1
products is good;1
good quality;1
good ;1
good 1;1
very good product;1
fit comfortable;1
good and comfortable;1
need improvement in stitching otherwise fabric is good;1
superb quality;1
its working nice;1
very good product i love this;1
nice;1
good product;1
very nice;1
good and comfortable;1
awesome product;1
best;1
quality was really good thanks flipkart ;1
this is very nice im so happy this product;1
nice;1
super productcloth is very smmoth;1
good product the good price;1
comfortable;1
good product and fast delivery;1
nice ;1
nice;1
good look sexy fit;1
super product good quality;1
best price;1
good product value for money;1
really comfortable;1
nice product;1
best;1
good;1
good;1
good supporter for running;1
very comfortable ;1
very good;1
good quality cloth is very softness;1
mast by thank you flipkart;1
best;1
useful;1
good;1
good;1
nice;1
good product;1
over all best;1
good;1
good;1
good cuality;1
super product;1
as expected ;1
meteriyal is not good but very comfortable;1
god;1
very nice product;1
bast;1
nice product;1
good;1
supar;1
nice fleeting;1
good product and very comfortable to wear that so thank you flip kart ;1
very good product;1
good product snugly fits worth buying;1
very good;1
very good ;1
good products;1
good;1
nice;1
very good;1
very good;1
very good product;1
its a really good product for playing cricket;1
super;1
good;1
so nice sexy look;1
super;1
i have been using d ath support for d last 3540 yrsbut sportsoul brand find very comfortable;1
superb fine;1
super;1
size problem but quality is o o ok type;1
so far very good experience but stiching very delicate;1
size and fittings perfect product is pure cotton onlything is elastic looses very fast;1
only grey color is good dont buy blackcolor bcoz it is loosing black each time when i wash itits irritating to get lot of black color in each timesince 3 weeks i buy im still getting the black colorso better buy grey colorand size and fitting are good;1
good;1
nice;1
comfortable nice one;1
photocopy and original material difference;1
good;1
excellent product;1
comfortable;1
very good ;1
pretty good;1
good;1
nice;1
nice product;1
super;1
good;1
thanks;1
good;1
excellent;1
very nice material and solid comfort;1
nice productbut i havent usedquality is really goodirfan;1
good;1
nice product;1
stitching should be good i got little bit tight one i think plz improve stitch once more for long life of this item;1
v good;1
super;1
awesome;1
good fiting;1
nice product fabric is good with this price and fitting is awesome you can go for it with out having second thought;1
good product very comfortable thanks flipcard;1
nice;1
nice bat to play for in home roof and road with tennis ball;1
nice bat happy;1
good virat kohli short;1
best;1
super;1
this is bat is very good in tennis cricket bat this is very good product ;1
very nice product;1
very good;1
nice;1
good product my small brother is playing well and he was very happy with this product very good quality at this price ;1
very good as expected;1
good product;1
good;1
v good bat;1
master high back;1
good quality;1
nice;1
vary good;1
too much good for childrens because they spend much time in this;1
very nice product;1
nice;1
nice ;1
gd product;1
good;1
best qualities;1
very good;1
nice;1
good;1
very good;1
nice;1
super ;1
all things are very nice but ball is good;1
very good;1
very good;1
ok good product nice;1
beautiful;1
nice;1
osm;1
nice product;1
good quality is range mai best product hai ;1
nice;1
best quality;1
quality product just awesome;1
excellent;1
wow super;1
nice;1
good producti love it ;1
very nice bat;1
worthy;1
nice;1
best product;1
very nice ;1
ok type comparing price;1
the bat is very nice and it is good for hitter who loves to hit six and it is also good for 14year old boys i love it thank you flip kart ;1
thank you so much flipkart i am happy about flipkart i gave the bat as the gift to my friend and he was happy tooi am planning to order one more thing;1
bat quality is very good for tennis cricket players look like professional bat weight from handle is excellent overall weight is just awesome size of handle is perfect size of full bat is veri nice i am giving 5 star rating for 2 things 1st is the overall quality at this price point is very very much excellent and acceptable for everyone 2nd is for delivery i got the delivery before the given time and date thanks for the seller and flipkart for providing this ;1
super;1
nice batquality is good;1
very good product;1
nyconly for cosco ball;1
very nice product;1
super delightful;1
bast bat mrf;1
excellent product;1
superb;1
this is a good looking bat;1
very very good bat and very nice bwt;1
excellent product thanks flipkart;1
very nice but light weight single blade;1
wonderful and good also bat;1
good bat for 15 year old boys with tennis ballbut i dont get it with the cover;1
good;1
good i like it thank you flipkart;1
worthy bat for this budget thanks to the vendor and flipkart people under 16 can buy it or boys below 5 feet can purchase my suggestion but no issues with the bat ;1
nice;1
its a good quality bat please go for it;1
ireally bestest product;1
good but average quality;1
this bat is superb ;1
excellent bat;1
good;1
very useful;1
very good surveys and excellent bat;1
good product;1
awesome bat i love it so much thank you flipkart;1
very good ;1
nice cricket bat;1
thanks;1
nice product but price is little bit high;1
bat is good but lie cover is not come;1
top quality bati hit 100 meter six with this bat ;1
good bat light weight ;1
nice;1
i love this bat and mrf;1
very very nice so beautiful ;1
i love mrf bat;1
good quality bat ok;1
goodquality;1
this bat like this dues bat and i try the duel ball very very special bat;1
nice and good quality;1
i ordered white colour handle but i got red one the bat is quite useful to play many shorts heavy in weight and also having thin edge on the startingnot useful to play big big shorts handle may breakfor pratice sessions it is excellent;1
it good for rubber ballcheaper and better;1
splendid bat so good;1
supar;1
so so product i recueved it today and i am concerned about its durability otherwose looks good;1
cracks appeared on bat after first time playing;1
bat are good lookingbut where is the coverweight is too muchbut it is good at this price;1
excellent;1
product may be good but not satisfied as soon give in picture cover is not included very bad delivery not delivered on date but thanks to flipkart;1
very good;1
good but not so much;1
good;1
its a too good product;1
damage pic send by flip cark but bat is good;1
it is very good and big bat it is for more than 5 ft player and small player can not play;1
lovely bat best light weight tennis ball bat i ever hadloved it;1
awesome what more to say;1
very good quality bat superbsuper awesomethanks to shopsy;1
good quality;1
bat is good but it was of chuna;1
so good;1
super;1
good;1
nice;1
bat is of good quality and correct height go for it;1
very good;1
super bat in the world;1
bat is thin but his hitting ability was good;1
nice bat;1
very nice and some much like this bat good product;1
good;1
good product;1
good;1
good;1
best;1
super hero bat you can buy it;1
amazing product tq flipkart;1
very good bat but one problem this bat is not come with cover overall the bat is excellent it is too good but it is is very slim and size is large;1
vree good;1
amazing;1
good condition mrf bat ;1
delivery man is best;1
nice;1
god product ;1
super but carefully use;1
best product must buy it is for 11 boys and mens if you go to ground so it is perfect ;1
nice bat i buyed before 1 year now also it is good quality buy it;1
good;1
nice;1
thank you;1
super bat;1
i like its and i love its;1
good;1
very amazing bat;1
the product is very good under the price rangebut no cover was provided;1
nice productiam verry happy;1
storng product;1
excellent;1
worthy of money best bat in this prize ;1
nice;1
good products;1
super;1
very nice;1
excellent productnice boot;1
nice fiting;1
best flipkart by shoes;1
good shoe is no problem comfortable to wear;1
good;1
perfect for daily usage;1
great;1
good;1
good shoe;1
very good product according price;1
nice products;1
unbelievable product;1
good prodect;1
superb;1
verry good;1
great shoe;1
perfect;1
good productd;1
super products thx filepcart;1
excellent shoes;1
very good quality;1
just ok not bad;1
very good product;1
good ;1
good ;1
worth buying;1
good shoe;1
good product;1
nice experience;1
very nice product;1
very good shoes;1
good product;1
as this price it is good;1
super;1
good products;1
overall finishing is good i use it from last 6 months till now no issues;1
superb;1
superb;1
very nice;1
super itom;1
nice product;1
ok good product;1
good;1
super nice;1
i like this products;1
i ordered it for my dad birthday my dad love it thanks flipcart;1
good product and comfortable thank you flipkart ;1
good;1
fantastic;1
nice;1
product is very nice 659;1
this time got good product perfect size and perfect look;1
good products highly recommended;1
good products ;1
thanks;1
no beautiful product;1
nice;1
i ordered for my husband n he loved the product good quality;1
excellent product mrsantosh tilak is an amazing n soft spoken person 5 star to him also who delivered my order before time ;1
nice shoes good in quality;1
comfort and value is to good;1
nice shoes thanks 2 flipkart;1
not bad;1
good product in this range;1
good boots;1
superb;1
nice;1
good qlty;1
nice shoes ;1
wonderful products;1
very good;1
it is good;1
v good;1
vgood;1
no good looking;1
very nice product;1
nice product;1
good item;1
the shoe is providing good quality in this price range i dont recommend this shoe in wet conditions;1
good compertable for shoes;1
shoe is not bad but poor less up very poor lace quality;1
good product;1
nice shoes;1
thank you;1
yes its fine ;1
nice product;1
there was written in your noteselect 1no larger than what u wear now this shoes are 1no large for me but i m happy about quality;1
nice;1
very nice;1
gd;1
nice;1
very nice product;1
very good shoe;1
n8ce;1
wow;1
best quality;1
shoes is best;1
sole crack easily;1
excellent;1
good;1
excellent;1
verry nice shooes;1
nice product;1
thanks;1
good shoes;1
good;1
very smart;1
good quality product;1
excellent product;1
nice product;1
nice shoes;1
nice;1
very nice delyvari;1
one of the best industrial safety shoe money can buy;1
good shoes for daily use;1
good product;1
shoe fitment is good safety wise it is also good ;1
light weight and comfortablebut buy one size larger than your regular size;1
nice shoe;1
nice;1
good to wear;1
good product;1
good user friendly;1
nice shoes very less price good colaty;1
like itsalman khan;1
after the use of 1 month i am giving this review good product good quality exact fit ;1
grate;1
awasome product;1
very nice;1
good;1
good quality;1
good and one ordear;1
nyc;1
excellent;1
nice products;1
good for metal companys;1
nice product wt is warranty period;1
good;1
nice shoes very good product;1
nice product ;1
lil costly but nice;1
good product;1
very nice product;1
its good and very comfortable;1
very nice;1
nice;1
very nice;1
very good;1
value for money;1
nic;1
goood;1
very good product;1
good product;1
nice;1
good product;1
good shooes;1
excellent;1
super shoe thank felp card;1
good;1
fantastic;1
not bad;1
excellent quality;1
value for money;1
very nice;1
best quality;1
nice;1
good;1
nice product i am very happy;1
sol of the boot best;1
good;1
product is quite well very useful for rough use;1
good;1
nice;1
nice product and good delivery;1
always good;1
very good product;1
ok good;1
great job;1
good product and best in service and ontime delivery;1
for the price its very good;1
excellent;1
product is good ;1
im totally satisfy with this product thanks flipkart;1
best qualitycomfortable;1
 good;1
the quality of the product is to good best for workshops;1
good;1
good quality;1
nice shoe;1
nice shoes i like it thanks flipkart ;1
good product;1
good;1
very nice product;1
good;1
nice shoe;1
nice shoes;1
good product;1
good;1
very good quality;1
nice;1
good looking perfect for industrial uses;1
awesome;1
good quality product recommended for purchase the shoe;1
very good quality shoes;1
nice;1
good;1
quality shoes fit in size value for money tested in rough and tough situation for 15 days but it is as good as new laces are good long enough sole is thick and strong;1
very good material;1
its comfortable;1
very good;1
good quality;1
so nuce;1
till going good;1
good;1
good product i like it;1
very good;1
nice product;1
nce;1
this is agood pair of shoe;1
very nice;1
nice fitting very comfortable;1
nice;1
very nice;1
nice one;1
good shose;1
amazing product on this price i suggest every one to buy thanks to flipkart for this amazing product love u flipkart;1
good;1
awesome product;1
nice delivery flipcart;1
super;1
good;1
nice ;1
awsm;1
value for money ;1
thanks;1
nice you may try;1
good quality light weight;1
its not a leather shoe but quality good;1
aswm;1
best quality product;1
good;1
good quality;1
good;1
just ok;1
very nice shoes and fast delivery thanks flipkart after three months sole get broken;1
nice;1
using for last 6 months its good;1
using for last 6 months its good;1
using for last 6 months its good;1
nice shoes;1
verry soft nice product;1
good;1
perfect;1
nice;1
very comfortable shoes;1
good product;1
good product;1
nice;1
very good quality;1
nice;1
nice shoes;1
good quality in this price;1
good provide safety;1
good;1
good;1
could be more better;1
good product please make available with size of 9;1
amazing shoe with great professional look;1
good look;1
exlent product;1
nice shoes;1
good shoes;1
good;1
nice product;1
best shoes;1
very nice quality is better;1
good product;1
super;1
good product;1
good;1
very good;1
superp safty shoes;1
nice;1
good product;1
very good light weight and stylish;1
okay worth for money;1
im satisfied this shoes;1
good product;1
nyc shoes comfortable nd light;1
not bad;1
very good;1
nice product;1
good;1
good shoes atiketi sammaiah;1
good;1
good thanks;1
excellent product;1
nice product;1
nice products;1
stuff of cloth not good very poor quality;1
its okay feels very fragile not durable at all;1
nice;1
bad so heavy do not but waste of money so big;1
gloves is good but its material is very slippery not good for dish washing;1
too badnot fit my milton mopit came out during g mopping;1
stick is not good waste of money;1
very small not even for double bed good for nothingdont buy it the cloth quality is rough not worh it;1
not worthy wasted money;1
that is no good product;1
not bad;1
i brought this product but it is not good waste of money i request flipkart customer dont buy this product;1
